tab6,ProxyID,1,2,3,4,5,6,7,8,9,10,11,12
6) AP_Crs,7014022,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,,,,,,,,
6) AP_Crs,7042033,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
6) AP_Crs,7064087,HSC3011/AP CHEMISTRY,,,,,,,,,,,
6) AP_Crs,7067903,CCT5950/AP STUDIO ART,HFA5950/AP STUDIO ART,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HSC0451/AP ENVIRONMNTL SCI 1,HSC0452/AP ENVIRONMNTL SCI 2,HSS0487/AP AMER GOVERNMENT,,,,,
6) AP_Crs,7100001,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
6) AP_Crs,7108975,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
6) AP_Crs,7135196,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
6) AP_Crs,7148837,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HSS0487/AP AMER GOVERNMENT,,,,,,,,,
6) AP_Crs,7157627,HMA1944/AP STATISTICS A,HMA1945/AP STATISTICS B,HSC3012/AP BIOLOGY,HSS0487/AP AMER GOVERNMENT,HSS1419/AP COMPARATIVE GOV,,,,,,,
6) AP_Crs,7170376,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HWL3553/AP JAPANESE 5A,HWL3554/AP JAPANESE 5B,,,,,,,,
,7184024,HLA2494/AP ENG LIT COMP 1,,,,,,,,,,,
,7184080,HCT3227/AP MACROECONOMICS 1A,HCT3228/AP MACROECONOMICS 1B,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HSC3012/AP BIOLOGY,HSS0487/AP AMER GOVERNMENT,HSS1419/AP COMPARATIVE GOV,,,,,
,7186915,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7206058,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HMA1929/AP CALCULUS AB A,HMA1932/AP CALCULUS AB B,HSC2400/AP PHYSICS C1,HSS0487/AP AMER GOVERNMENT,,,,,,
,7238947,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7245390,HSS0487/AP AMER GOVERNMENT,,,,,,,,,,,
,7248949,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7260801,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HMA1929/AP CALCULUS AB A,HMA1932/AP CALCULUS AB B,HSS0487/AP AMER GOVERNMENT,,,,,,,
,7269030,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,,,,,,,,
,7275940,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7290280,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,,,,,,,,,,
,7307844,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,,,,,,,,,,
,7325066,HLA0026/AP LANGUAGE ARTS 12,,,,,,,,,,,
,7341277,HCT0575/AP COMPUTER SCI A 1,HCT0576/AP COMPUTER SCI A 2,HSS0487/AP AMER GOVERNMENT,HWL3553/AP JAPANESE 5A,,,,,,,,
,7391884,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7415058,HCT0575/AP COMPUTER SCI A 1,HCT0576/AP COMPUTER SCI A 2,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HMA1929/AP CALCULUS AB A,HMA1932/AP CALCULUS AB B,HSC2400/AP PHYSICS C1,HSC2401/AP PHYSICS C2,HSS0487/AP AMER GOVERNMENT,HWL6117/AP LATIN A,HWL6118/AP LATIN B,
,7437225,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7443801,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7452225,HLA2492/AP ENG LANG COMP 1,,,,,,,,,,,
,7512656,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,HWL3572/AP SPANISH 5A,HWL3573/AP SPANISH 5B,,,,,,
,7557055,HSC1542/AP PHYSICS B,,,,,,,,,,,
,7594222,HSS0568/AP WORLD HISTORY 1,HSS0569/AP WORLD HISTORY 2,,,,,,,,,,
,7596596,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HSS0487/AP AMER GOVERNMENT,HSS1419/AP COMPARATIVE GOV,,,,,,,,
,7599295,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,,,,,,,,,,
,7610056,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HMA1938/AP CALCULUS BC A,HMA1939/AP CALCULUS BC B,HSC2400/AP PHYSICS C1,HSC2401/AP PHYSICS C2,HSS0487/AP AMER GOVERNMENT,,,,,
,7621164,HLA2492/AP ENG LANG COMP 1,HLA2493/AP ENG LANG COMP 2,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,HWL3572/AP SPANISH 5A,HWL3573/AP SPANISH 5B,,,,,,
,7648663,HSS1211/AP US HISTORY 11A,HSS1213/AP US HISTORY 11B,,,,,,,,,,
,7658533,HLA2494/AP ENG LIT COMP 1,HLA2495/AP ENG LIT COMP 2,HSS0487/AP AMER GOVERNMENT,HSS1419/AP COMPARATIVE GOV,,,,,,,,
,7667291,HSS0487/AP AMER GOVERNMENT,HSS1419/AP COMPARATIVE GOV,,,,,,,,,,
