StudentID,SubjectArea,TestName,TestAttemptCode,Score,LevelCode,MetStandard
7972363,ELA,Smarter Balanced Assessment,TS,2535,L2,N
3832712,ELA,Smarter Balanced Assessment,RF,,L0,N
7217971,ELA,Smarter Balanced Assessment,NB,,L0,N
6903589,ELA,Smarter Balanced Assessment,TS,2399,L2,N
6270587,ELA,Smarter Balanced Assessment,TS,2497,L4,Y
7988838,ELA,Smarter Balanced Assessment,TS,2512,L2,N
6988706,ELA,Smarter Balanced Assessment,TS,2500,L2,N
6107422,ELA,Smarter Balanced Assessment,TS,2419,L1,N
6352471,ELA,Smarter Balanced Assessment,TS,2552,L4,Y
7220871,ELA,Smarter Balanced Assessment,NB,,L0,N
7857174,ELA,Smarter Balanced Assessment,TS,2679,L4,Y
7404800,ELA,Smarter Balanced Assessment,TS,2481,L1,N
6692537,ELA,Smarter Balanced Assessment,TS,2372,BA,Y
3200412,ELA,Smarter Balanced Assessment,TS,2436,L1,N
7068837,ELA,Smarter Balanced Assessment,TS,2701,L4,Y
3015716,ELA,Smarter Balanced Assessment,TS,2712,L4,Y
6094744,ELA,Smarter Balanced Assessment,NB,,L0,N
7958695,ELA,Smarter Balanced Assessment,NB,,L0,N
7928964,ELA,Smarter Balanced Assessment,TS,2701,L4,Y
7957321,ELA,Smarter Balanced Assessment,TS,2662,L4,Y
6956585,ELA,Smarter Balanced Assessment,PE,,--,-
6399536,ELA,Smarter Balanced Assessment,RF,,L0,N
3637713,ELA,Smarter Balanced Assessment,TS,2394,L2,N
3042715,ELA,Smarter Balanced Assessment,TS,2276,L1,N
7107374,ELA,Smarter Balanced Assessment,TS,2303,L1,N
7282906,ELA,Smarter Balanced Assessment,TS,2582,L2,N
3044789,ELA,Smarter Balanced Assessment,TS,2506,L2,N
7180878,ELA,Smarter Balanced Assessment,NB,,L0,N
3362713,ELA,Smarter Balanced Assessment,TS,2468,L3,Y
6000715,ELA,Smarter Balanced Assessment,TS,2518,L2,N
7980803,ELA,Smarter Balanced Assessment,TS,2338,L1,N
7815984,ELA,Smarter Balanced Assessment,NB,,L0,N
3185715,ELA,Smarter Balanced Assessment,TS,2524,L4,Y
3490793,ELA,Smarter Balanced Assessment,TS,2657,L4,Y
7459397,ELA,Smarter Balanced Assessment,TS,2385,L1,N
7522330,ELA,Smarter Balanced Assessment,TS,2636,L3,Y
7186915,ELA,Smarter Balanced Assessment,RF,,L0,N
3205749,ELA,Smarter Balanced Assessment,TS,2546,L4,Y
7931338,ELA,Smarter Balanced Assessment,TS,2457,L1,N
7437225,ELA,Smarter Balanced Assessment,TS,2546,L2,N
7506127,ELA,Smarter Balanced Assessment,TS,2716,L4,Y
3927418,ELA,Smarter Balanced Assessment,IC,,L0,N
6932481,ELA,Smarter Balanced Assessment,TS,2450,L2,N
6882724,ELA,Smarter Balanced Assessment,TS,2479,L2,N
6507462,ELA,Smarter Balanced Assessment,TS,2510,L3,Y
7327963,ELA,Smarter Balanced Assessment,TS,2662,L3,Y
7462808,ELA,Smarter Balanced Assessment,TS,2564,L2,N
7581124,ELA,Smarter Balanced Assessment,TS,2657,L3,Y
7638826,ELA,Smarter Balanced Assessment,BL,,L0,N
7493862,ELA,Smarter Balanced Assessment,TS,2469,L2,N
7019385,ELA,Smarter Balanced Assessment,TS,2580,L3,Y
6535519,ELA,Smarter Balanced Assessment,TS,2577,L2,N
6452470,ELA,Smarter Balanced Assessment,TS,2614,L3,Y
7594961,ELA,Smarter Balanced Assessment,TS,2624,L3,Y
6252476,ELA,Smarter Balanced Assessment,TS,2411,L1,N
3213751,ELA,Smarter Balanced Assessment,TS,2292,L1,N
7535330,ELA,Smarter Balanced Assessment,TS,2690,L4,Y
6906748,ELA,Smarter Balanced Assessment,TS,2524,L2,N
7453170,ELA,Smarter Balanced Assessment,TS,2607,L3,Y
7833168,ELA,Smarter Balanced Assessment,TS,2612,L3,Y
3042789,ELA,Smarter Balanced Assessment,TS,2439,L3,Y
7382142,ELA,Smarter Balanced Assessment,TS,2620,L3,Y
6783703,ELA,Smarter Balanced Assessment,TS,2461,L1,N
7827378,ELA,Smarter Balanced Assessment,TS,2498,L2,N
3947417,ELA,Smarter Balanced Assessment,NB,,L0,N
7003626,ELA,Smarter Balanced Assessment,RF,,L0,N
