StudentID,SubjectArea,TestName,TestAttemptCode,Score,LevelCode,MetStandard
6329583,ELA,Smarter Balanced Assessment,TS,2365,L1,N
3257412,Mathematics,Smarter Balanced Assessment,TS,2538,L2,N
3123786,Mathematics,Smarter Balanced Assessment,TS,2459,L1,N
3853714,Mathematics,Smarter Balanced Assessment,NB,,L0,N
6627761,Mathematics,Smarter Balanced Assessment,TS,2507,L2,N
7470818,Mathematics,Smarter Balanced Assessment,TS,2551,L2,N
7164855,Mathematics,Smarter Balanced Assessment,TS,2626,L3,Y
7205860,Mathematics,Smarter Balanced Assessment,TS,2311,L1,N
7676657,Mathematics,Smarter Balanced Assessment,NB,,L0,N
6280429,Mathematics,Smarter Balanced Assessment,TS,2390,L1,N
6856444,Mathematics,Smarter Balanced Assessment,AX,,--,-
6353457,Mathematics,Smarter Balanced Assessment,RF,,L0,N
6512478,Mathematics,Smarter Balanced Assessment,TS,2460,L2,N
6252514,Mathematics,Smarter Balanced Assessment,RF,,L0,N
