School,Grade,Ethnicity,HomeLang,ReadingPercentTotal,MathPercentTotal
212,0,Asian,Vietnamese,NA,NA
218,0,African-American,Somali,11,14
226,1,Asian,Vietnamese,97,96.5
226,0,Asian,Vietnamese,43.5,37.5
226,1,African-American,NA,48.5,57
291,1,I,NA,11.5,9.5
226,0,African-American,Somali,22.5,32
226,0,M,NA,70.5,69.5
233,3,Asian,Mandarin,7,79.5
974,0,White,NA,1,18
244,0,White,NA,NA,NA
226,0,M,NA,19,14
226,1,Hispanic,Spanish,55,51
226,0,Asian,NA,20,19.5
226,0,African-American,Somali,49,27
226,0,African-American,Tigrinya (Tigrigna),21,21
226,0,Hispanic,NA,64,51
226,1,African-American,Somali,70,80.5
226,0,Hispanic,NA,88.5,77
226,1,African-American,Amharic,45,64.5
244,0,African-American,Somali,NA,NA
244,0,White,NA,NA,NA
226,0,African-American,Somali,88,58
211,0,Asian,Cantonese,60.5,38
226,1,African-American,Somali,43.5,55.5
226,3,African-American,Somali,52,29
226,1,African-American,NA,87.5,83.5
117,6,African-American,Somali,1,1.5
935,2,Asian,Mandarin,24,36.5
955,7,White,NA,66.5,21
276,0,M,NA,70.5,82
117,7,Asian,Cantonese,14,50
117,6,African-American,Somali,73.5,68
226,4,African-American,NA,1,1
233,0,African-American,Somali,7.5,NA
117,8,M,NA,63.5,39
212,1,African-American,Amharic,9,6.5
262,4,African-American,Somali,9.5,18
117,8,Asian,Cantonese,1,8.5
212,2,African-American,Somali,NA,NA
244,3,African-American,NA,46.5,55.5
244,3,African-American,Oromo (Ethiopia),41.5,51
226,2,M,NA,55,NA
226,5,African-American,NA,27.5,9.5
935,1,Asian,Cantonese,34.5,66
935,2,African-American,Amharic,60.5,63
212,2,African-American,Amharic,64.5,82
272,1,African-American,NA,92.5,94.5
226,4,African-American,NA,8.5,2
249,1,White,NA,92.5,99
935,1,African-American,Tigrinya (Tigrigna),40.5,48
117,7,Asian,NA,54.5,44.5
226,1,African-American,NA,22,39
272,3,Hispanic,Spanish,27.5,16
245,3,African-American,NA,54,55.5
272,2,Hispanic,Spanish,24,50
226,0,African-American,NA,73.5,75.5
226,3,Asian,Toishanese,29.5,30.5
117,8,African-American,Somali,50.5,17
226,4,Asian,Cantonese,10.5,70
226,2,Asian,Mandarin,50,81
117,6,Asian,Japanese,48,34.5
226,4,Asian,Vietnamese,46.5,39
288,5,African-American,Tigrinya (Tigrigna),36,33
117,6,African-American,Somali,10,10
245,1,African-American,Arabic,NA,NA
226,4,White,Kurdish,NA,NA
226,2,African-American,NA,94,98.5
245,1,Hispanic,NA,NA,NA
288,3,Hispanic,Spanish,49,64
226,1,African-American,Somali,51,51
226,1,Asian,Cantonese,85,92
117,7,Asian,Cantonese,79.5,74.5
226,2,Hispanic,NA,70.5,38.5
256,4,Asian,Vietnamese,88.5,99
244,2,African-American,Somali,NA,NA
211,4,Asian,Toishanese,27.5,44.5
226,0,Hispanic,NA,70.5,27.5
226,2,Asian,Vietnamese,64,62
117,8,African-American,Somali,31,29.5
226,2,Asian,Tagalog,89,87.5
226,1,African-American,Somali,8,9.5
288,2,Asian,Vietnamese,71,66
226,1,African-American,Somali,67.5,46.5
245,2,Asian,Cantonese,NA,NA
226,3,African-American,Oromo (Ethiopia),24,32.5
272,3,Hispanic,Spanish,71,83
272,3,Asian,Cantonese,13,67.5
248,1,White,NA,NA,NA
226,3,Hispanic,Spanish,82.5,80
251,2,African-American,Somali,29,64
117,6,Asian,Tagalog,58.5,81.5
117,7,Asian,Cantonese,29,86
209,2,Hispanic,NA,77.5,89
218,2,African-American,Somali,36.5,21.5
935,1,Asian,Cantonese,79,85.5
226,2,Asian,Japanese,68,88.5
244,4,African-American,NA,13,27
244,3,African-American,NA,50.5,22.5
930,3,White,NA,51.5,68
249,1,African-American,NA,93.5,98.5
117,7,Hispanic,Spanish,60,51.5
935,2,Asian,Cantonese,34.5,56.5
212,4,African-American,Somali,29,34
226,3,African-American,Somali,41.5,67.5
205,3,Asian,Cantonese,84.5,86.5
212,3,African-American,English,5.5,1.5
244,3,White,NA,92.5,89
212,1,Hispanic,Spanish,12.5,52.5
226,2,Asian,Toishanese,34,17
226,2,African-American,Somali,20.5,18.5
242,2,White,NA,37,56.5
117,8,Hispanic,Spanish,60,61
226,1,African-American,Somali,NA,NA
939,4,M,NA,NA,NA
226,4,African-American,Somali,20.5,34
244,3,African-American,NA,86,52.5
226,3,Hispanic,Spanish,32,20
226,5,African-American,Somali,1,1
275,1,Asian,NA,52,69
226,2,African-American,NA,81.5,93
226,2,Hispanic,Spanish,14.5,10
935,1,White,English,56.5,69
272,1,Asian,Cantonese,69.5,91
226,3,African-American,Somali,1.5,2
935,2,Asian,Toishanese,39.5,60
226,2,Hispanic,NA,69,84
288,3,African-American,NA,37,50.5
255,2,African-American,NA,25.5,32.5
212,2,African-American,Oromo (Ethiopia),8.5,9
226,1,Asian,NA,67,60
226,2,M,NA,1,1
226,3,African-American,Oromo (Ethiopia),1.5,5
244,1,African-American,Somali,24.5,14.5
117,6,African-American,Somali,1,1
117,8,Asian,Toishanese,23,52
226,2,Hispanic,NA,46,37.5
226,1,Hispanic,Spanish,42,25
244,4,African-American,NA,89,41
226,1,African-American,Somali,12.5,25
226,1,African-American,Somali,3,2
935,3,Asian,Cantonese,67,52
226,1,African-American,Somali,NA,NA
272,0,African-American,English,NA,NA
218,1,African-American,NA,10.5,11
226,2,African-American,Somali,6,1.5
226,1,Asian,NA,85,95
226,1,Asian,Tagalog,78,73.5
226,3,African-American,NA,52,56.5
244,2,White,NA,68,97
974,2,White,NA,76,95.5
226,2,White,NA,41.5,55
226,2,African-American,Somali,83.5,69
226,3,African-American,Somali,35.5,49
