Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Tim Hardaway\hardati02,27,$17325000,$18150000,$18975000,,,,Cap space,$35475000
Courtney Lee\leeco01,33,$12253780,$12759670,,,,,Cap Space,$25013450
Dwight Powell\poweldw01,27,$9631250,$10259375,,,,,Cap Space,$9631250
Luka Doncic\doncilu01,20,$6560640,$7683360,$8049360,$10174391,,,1st Round Pick,$14244000
Kristaps Porzingis\porzikr01,23,$5697054,,,,,,1st round pick,$5697054
Dirk Nowitzki\nowitdi01,40,$5000000,,,,,,Cap Space,$5000000
J.J. Barea\bareajo01,34,$3710850,,,,,,Cap Space,$3710850
Justin Jackson\jacksju01,24,$2807880,$3280920,$5029650,,,,1st Round Pick,$6088800
Devin Harris\harride01,36,$2393887,,,,,,Minimum Salary,$2393887
Trey Burke\burketr01,26,$1795015,,,,,,Minimum Salary,$1795015
Dorian Finney-Smith\finnedo01,26,$1544951,,,,,,Minimum Salary,$1544951
Maxi Kleber\klebima01,27,$1378242,,,,,,Minimum Salary,$1378242
Jalen Brunson\brunsja01,22,$1230000,$1416582,$1663861,$1802057,,,Cap Space,$4310443
Ryan Broekhoff\broekry01,28,$838464,$1443842,,,,,,$838464
Daryl Macon\maconda01,23,,,,,,,Two-Way Contract,
Kostas Antetokounmpo\antetko01,21,,,,,,,Two-Way Contract,
Zach Randolph\randoza01,37,$11692308,,,,,,,$11692308
Salah Mejri\mejrisa01,33,$1567007,,,,,,,$1567007
Chinanu Onuaku\onuakch01,22,$1544951,,,,,,,$1544951
Ray Spalding\spaldra01,22,$838464,,,,,,,$838464
Terry Larrier\larrite01,23,$6000,,,,,,,$6000
Ding Yanyuhang\yanyudi01,25,$4737,,,,,,,$4737
Team Totals,,$87820480,$54993749,$33717871,$11976448,,,,$132774873
