Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Otto Porter,26,$26011913,$27250576,$28489239,,,,Bird Rights,$53262489
Zach LaVine,24,$19500000,$19500000,$19500000,$19500000,,,,$78000000
Robin Lopez,31,$14357750,,,,,,Cap Space,$14357750
Cristiano Felicio,26,$8470980,$8156500,$7529020,,,,Cap space,$24156500
Lauri Markkanen,22,$4536120,$5300400,$6731508,,,,1st Round Pick,$9836520
Wendell Carter,20,$4441200,$5201400,$5448840,$6920027,,,1st Round Pick,$9642600
Kris Dunn,25,$4221000,$5348007,,,,,1st Round pick,$9569007
Denzel Valentine,25,$2280600,$3377569,,,,,1st Round pick,$5658169
Chandler Hutchison,23,$1991520,$2332320,$2443440,$4019459,,,1st Round Pick,$4323840
Wayne Selden,24,$1544951,,,,,,,$1544951
Timothe Luwawu-Cabarrot,24,$1544951,,,,,,1st Round pick,$1544951
Ryan Arcidiacono,25,$1349383,,,,,,Minimum Salary,$1349383
Antonio Blakeney,22,$1349383,$1588231,,,,,Minimum Salary,$2937614
Shaquille Harrison,25,$1311265,,,,,,,$1311265
Walt Lemon,26,,,,,,,,
Rawle Alkins,21, ,,,,,,Two-Way Contract, 
Brandon Sampson,22, ,,,,,,Two-Way Contract, 
Omer Asik,32,$11286516,$3000000,,,,,,$14286516
Cameron Payne,24,$3263295,,,,,,,$3263295
Carmelo Anthony,35,$2393887,,,,,,,$2393887
MarShon Brooks,30,$1656092,,,,,,,$1656092
Michael Carter-Williams,27,$1200000,,,,,,,$1200000
JaKarr Sampson,26,$88531,,,,,,,$88531
Team Totals,,$112799337,$81055003,$70142047,$30439486,,,,$240383360
