SchID,Grade,HomeLanguage,Ethnicity,ReadingPercentTotal,MathPercentTotal
288,5,NA,White,94,93.5
117,7,NA,M,92,85
249,8,NA,African-American,5.5,16
329,8,Amharic,African-American,NA,NA
117,6,Vietnamese,Asian,72,54.5
939,6,NA,M,24.5,62
935,4,NA,African-American,20,33
251,5,NA,African-American,2.5,6.5
226,3,Spanish,Hispanic,51.5,47.5
272,4,Spanish,Hispanic,30,55.5
117,8,NA,African-American,NA,50
117,7,Vietnamese,Asian,35.5,68
117,6,Amharic,African-American,1,9
130,8,NA,African-American,NA,5.5
245,4,NA,African-American,NA,NA
935,4,NA,African-American,38,38
117,8,NA,Asian,70.5,53
212,5,NA,White,98.5,98.5
935,8,Cantonese,Asian,41,41.5
935,8,NA,African-American,23,23.5
272,3,Spanish,Hispanic,20.5,27.5
117,8,Vietnamese,Asian,73,85
117,6,Somali,African-American,9,2.5
249,2,Spanish,Hispanic,NA,NA
218,5,Somali,African-American,15.5,7.5
935,4,NA,African-American,54,52.5
939,6,NA,Hispanic,17,9.5
212,5,Vietnamese,Asian,43,39
117,6,NA,African-American,18.5,33.5
117,8,Spanish,Hispanic,28.5,56.5
226,5,NA,African-American,4.5,2.5
117,8,NA,P,40,19.5
117,7,Vietnamese,Asian,80,90.5
212,2,NA,I,27,58.5
212,3,Spanish,Hispanic,35.5,28
117,7,Somali,African-American,7.5,36.5
117,6,Vietnamese,Asian,68.5,62
244,4,NA,White,75,61
226,3,Vietnamese,Asian,49,50.5
251,5,Somali,African-American,NA,13
117,8,Somali,African-American,NA,NA
117,6,NA,African-American,72.5,91
272,5,Vietnamese,Asian,51,34.5
