SchID,Grade,HomeLanguage,Ethnicity,ReadingPercentTotal,MathPercentTotal
244,3,Spanish,Hispanic,1,3.5
204,1,NA,White,36.5,29
226,1,Japanese,Asian,62.5,67.5
244,3,NA,African-American,41,25.5
249,0,NA,African-American,NA,NA
117,6,Spanish,Hispanic,69.5,33
935,1,Cantonese,Asian,11,25
212,3,Somali,African-American,22,21.5
226,2,Somali,African-American,66.5,84.5
205,2,Cantonese,Asian,47,68
212,2,English,African-American,4.5,2.5
244,2,NA,White,90,98.5
130,8,NA,African-American,7,6
117,6,Vietnamese,Asian,36,31.5
212,0,Spanish,Hispanic,NA,12.5
226,1,Toishanese,Asian,NA,NA
226,1,Somali,African-American,12.5,22
242,1,NA,White,51,78
117,7,Spanish,Hispanic,39,52.5
226,4,Somali,African-American,53,61
226,2,NA,African-American,47,35
226,0,Somali,African-American,9.5,1.5
983,8,Cantonese,Asian,15,89
226,2,Tigrinya (Tigrigna),African-American,31.5,13
117,8,NA,White,NA,NA
939,3,NA,M,29,13
226,1,Somali,African-American,20,4
244,2,NA,African-American,74,77.5
226,2,Spanish,Hispanic,19,14.5
226,4,Somali,African-American,1,1
212,4,NA,White,92.5,88
117,6,Spanish,Hispanic,NA,NA
275,0,NA,Asian,NA,NA
226,1,NA,African-American,94,90.5
226,1,NA,M,53,48
226,1,Spanish,Hispanic,20,13.5
935,0,English,White,41.5,59.5
226,0,Cantonese,Asian,70.5,94
226,3,Somali,African-American,1,1
935,1,Toishanese,Asian,11.5,34
288,2,NA,African-American,36.5,64
249,5,Spanish,Hispanic,NA,NA
255,1,NA,African-American,21,26
212,1,Oromo (Ethiopia),African-American,1,1.5
226,0,NA,Asian,69,74
226,1,NA,M,1.5,1
226,2,Oromo (Ethiopia),African-American,6.5,7
244,0,Somali,African-American,NA,NA
226,5,Somali,African-American,1,1
226,5,NA,I,83.5,79.5
983,7,Toishanese,Asian,4,33.5
226,1,NA,Hispanic,14,32.5
212,4,Somali,African-American,18.5,16
226,0,Somali,African-American,NA,NA
244,3,NA,African-American,86.5,41.5
218,1,Somali,African-American,22,12
226,0,Somali,African-American,31.5,21
226,0,Somali,African-American,9,1
935,2,Cantonese,Asian,22,50.5
226,0,Spanish,Hispanic,NA,NA
226,0,Somali,African-American,NA,NA
218,0,NA,African-American,5.5,2.5
226,1,Somali,African-American,6,1
226,0,NA,Asian,86.5,95
226,0,Tagalog,Asian,57.5,23
226,2,NA,African-American,60,56.5
244,1,NA,White,80.5,77.5
974,1,NA,White,92.5,97.5
226,2,Spanish,Hispanic,64,20.5
226,1,NA,White,35.5,59.5
226,1,Somali,African-American,82,61
226,2,Somali,African-American,64.5,52
226,5,Somali,African-American,42,35.5
983,7,Cantonese,Asian,1,16
212,3,Somali,African-American,31,10
333,0,NA,White,NA,NA
226,2,Toishanese,Asian,61.5,89
226,0,Vietnamese,Asian,8,9.5
226,1,Somali,African-American,73,57
272,0,Cantonese,Asian,52,93
269,1,Mandarin,Asian,45,83
117,7,Somali,African-American,26.5,27.5
117,6,NA,White,NA,97
244,1,NA,African-American,26,19
226,2,Somali,African-American,67.5,45.5
244,0,NA,White,NA,NA
251,2,Oromo (Ethiopia),African-American,NA,NA
226,5,Cantonese,Asian,55.5,95
226,3,NA,African-American,NA,NA
226,2,NA,African-American,9,3.5
226,2,Spanish,Hispanic,19.5,50
248,0,NA,African-American,91.5,81
226,1,Somali,African-American,94.5,89.5
226,1,NA,African-American,8.5,3
244,2,English,African-American,24,39.5
226,4,Somali,African-American,NA,NA
226,1,Spanish,Hispanic,9,11
249,3,NA,African-American,65,40
269,3,Cantonese,Asian,7,48
269,1,Vietnamese,Asian,94,77.5
226,1,Tigrinya (Tigrigna),African-American,48.5,16
226,1,Cantonese,Asian,71.5,77.5
249,1,NA,African-American,72.5,30.5
218,2,Vietnamese,Asian,8.5,17
244,2,NA,African-American,49.5,70.5
226,1,Somali,African-American,45,27
249,0,NA,White,NA,NA
226,2,Somali,African-American,70.5,79
226,1,NA,African-American,13.5,10
226,5,Mandarin,Asian,29.5,78.5
212,2,Spanish,Hispanic,50,58
212,5,Somali,African-American,1,1
226,2,NA,African-American,52,46
218,2,Vietnamese,Asian,35,47
226,1,Spanish,Hispanic,2,4
983,7,Mandarin,Asian,3,55
256,1,Dinka,African-American,3.5,12.5
226,2,Vietnamese,Asian,15,18.5
272,0,Spanish,Hispanic,44,56.5
226,2,Somali,African-American,87.5,92.5
288,2,Vietnamese,Asian,52.5,90.5
226,0,NA,Asian,NA,NA
244,2,NA,Hispanic,15.5,18.5
272,3,Japanese,Asian,56,77.5
226,1,Vietnamese,Asian,95,96.5
272,0,Spanish,White,15.5,5
244,3,NA,African-American,57,NA
255,0,NA,African-American,25,5
977,5,NA,African-American,NA,NA
117,6,Japanese,Asian,51.5,68.5
226,0,Somali,African-American,NA,NA
935,2,NA,African-American,28,55.5
249,3,NA,White,25,29.5
244,4,Ilokano,Asian,14.5,14
226,3,NA,P,NA,NA
244,1,Somali,African-American,6.5,4.5
730,1,NA,African-American,NA,NA
245,0,NA,White,48.5,58.5
226,2,Oromo (Ethiopia),African-American,28,23.5
212,1,Somali,African-American,8.5,2
249,2,NA,African-American,26.5,23
226,5,Cantonese,Asian,1,58.5
218,0,Somali,African-American,52,48.5
256,3,Toishanese,Asian,25,58.5
226,1,Somali,African-American,13.5,20.5
226,4,Toishanese,Asian,12,52.5
212,5,Amharic,African-American,9.5,28
226,1,Spanish,Hispanic,55.5,66.5
244,1,Spanish,Hispanic,22.5,37.5
226,0,Somali,African-American,24.5,40
226,0,Somali,African-American,69,82.5
218,2,Somali,African-American,5.5,5
117,7,Toishanese,Asian,51.5,90
935,1,Cantonese,Asian,49.5,45
226,0,Tigrinya (Tigrigna),African-American,50.5,37
226,0,Spanish,Hispanic,NA,NA
244,3,Oromo (Ethiopia),African-American,57,59
935,1,Toishanese,Asian,33.5,49.5
226,1,Somali,African-American,66,42.5
935,1,Cantonese,Asian,69.5,61.5
212,2,Somali,African-American,5,1
269,5,Tigrinya (Tigrigna),African-American,6,8.5
226,3,Vietnamese,Asian,2.5,22.5
226,0,Fula,African-American,55,42.5
935,2,Vietnamese,Asian,41,63
226,2,English,I,87.5,98.5
226,2,NA,Asian,37.5,32.5
244,3,Somali,African-American,7.5,1.5
226,1,Spanish,Hispanic,NA,NA
226,2,Somali,African-American,59,53.5
117,8,Tigrinya (Tigrigna),African-American,1,4.5
248,5,NA,White,63.5,37
249,4,NA,White,51.5,57
244,2,NA,African-American,58,42.5
251,3,English,African-American,4,16.5
212,3,Somali,African-American,75.5,67
117,6,Vietnamese,Asian,56,60.5
226,3,NA,African-American,5.5,9.5
244,1,NA,M,97.5,94
226,2,NA,Hispanic,68.5,76
226,0,Amharic,African-American,92.5,78
226,1,Somali,African-American,28.5,18
249,6,NA,White,15,1
212,2,NA,African-American,31.5,44
249,2,NA,African-American,44.5,43
288,1,Somali,African-American,89.5,79
226,3,NA,African-American,68.5,76.5
248,0,NA,African-American,11,15
226,5,Somali,African-American,11,6
226,0,NA,African-American,71.5,50.5
245,1,NA,African-American,93.5,89
