,Reference Area,Year,Observation Value,Continent
988,South Africa,2000,13.525139999999999,Africa
651,Mali,2014,13.53015,Africa
677,Mauritius,2014,13.534239999999999,Africa
986,South Africa,2002,13.549320000000002,Africa
627,Malawi,2014,13.59245,Africa
745,Namibia,2005,13.59854,Africa
93,Benin,2012,13.6059,Africa
408,Ghana,2006,13.606160000000001,Africa
181,Cape Verde,2007,13.616520000000001,Africa
656,Mali,2009,13.622160000000001,Africa
983,South Africa,2005,13.64976,Africa
989,South Africa,1999,13.846960000000001,Africa
658,Mali,1999,13.89282,Africa
981,South Africa,2007,13.91261,Africa
1083,Tunisia,2000,13.96025,Africa
1081,Tunisia,2002,13.991620000000001,Africa
158,Burundi,2005,14.03209,Africa
125,Botswana,2007,14.04325,Africa
95,Benin,2009,14.05505,Africa
1050,Togo,2014,14.11237,Africa
1084,Tunisia,1999,14.1755,Africa
177,Cape Verde,2013,14.2435,Africa
729,Morocco,2007,14.36475,Africa
1052,Togo,2012,14.423429999999998,Africa
1082,Tunisia,2001,14.4394,Africa
947,Seychelles,2002,14.46023,Africa
157,Burundi,2008,14.46918,Africa
154,Burundi,2011,14.611379999999999,Africa
159,Burundi,2004,14.71235,Africa
979,South Africa,2009,14.7175,Africa
332,Eritrea,2001,14.74572,Africa
982,South Africa,2006,14.81127,Africa
1014,Swaziland,2005,14.82979,Africa
741,Mozambique,2006,14.959929999999998,Africa
659,Mali,1998,14.9955,Africa
94,Benin,2010,15.01058,Africa
740,Mozambique,2012,15.16645,Africa
155,Burundi,2010,15.39819,Africa
383,Gambia,2008,15.40269,Africa
946,Seychelles,2003,15.412870000000002,Africa
178,Cape Verde,2011,15.44246,Africa
179,Cape Verde,2009,15.45551,Africa
739,Mozambique,2013,15.459520000000001,Africa
1013,Swaziland,2006,15.669360000000001,Africa
743,Namibia,2008,15.6823,Africa
728,Morocco,2008,16.013720000000003,Africa
733,Morocco,2003,16.4873,Africa
732,Morocco,2004,16.56615,Africa
226,Comoros,2011,16.63338,Africa
1011,Swaziland,2010,16.66829,Africa
727,Morocco,2009,16.73349,Africa
938,Senegal,2005,16.76171,Africa
735,Morocco,2001,16.79158,Africa
403,Ghana,2012,16.81044,Africa
934,Senegal,2010,16.9638,Africa
734,Morocco,2002,16.98315,Africa
937,Senegal,2006,16.99437,Africa
978,South Africa,2010,17.06055,Africa
931,Sao Tome and Principe,2013,17.15043,Africa
