,Reference Area,Year,Observation Value,Continent
888,Botswana,2006,6,Africa
889,Botswana,2005,6,Africa
890,Botswana,2004,6,Africa
891,Botswana,2003,6,Africa
892,Botswana,2002,6,Africa
893,Botswana,2001,6,Africa
894,Botswana,2000,6,Africa
895,Botswana,1999,6,Africa
896,Botswana,1998,6,Africa
897,Botswana,1997,6,Africa
898,Botswana,1996,6,Africa
899,Botswana,1995,6,Africa
914,Botswana,1980,6,Africa
915,Botswana,1979,6,Africa
916,Botswana,1978,6,Africa
917,Botswana,1977,6,Africa
918,Botswana,1976,6,Africa
919,Botswana,1975,6,Africa
1080,Cameroon,2014,6,Africa
1081,Cameroon,2013,6,Africa
1082,Cameroon,2012,6,Africa
1083,Cameroon,2011,6,Africa
1084,Cameroon,2010,6,Africa
1085,Cameroon,2009,6,Africa
1086,Cameroon,2008,6,Africa
1087,Cameroon,2007,6,Africa
1088,Cameroon,2006,6,Africa
1089,Cameroon,2005,6,Africa
1090,Cameroon,2004,6,Africa
1091,Cameroon,2003,6,Africa
1092,Cameroon,2002,6,Africa
1093,Cameroon,2001,6,Africa
1094,Cameroon,2000,6,Africa
1095,Cameroon,1999,6,Africa
1096,Cameroon,1998,6,Africa
1097,Cameroon,1997,6,Africa
1098,Cameroon,1996,6,Africa
1099,Cameroon,1995,6,Africa
1100,Cameroon,1994,6,Africa
1101,Cameroon,1993,6,Africa
1102,Cameroon,1992,6,Africa
1103,Cameroon,1991,6,Africa
1104,Cameroon,1990,6,Africa
1105,Cameroon,1989,6,Africa
1106,Cameroon,1988,6,Africa
1107,Cameroon,1987,6,Africa
1108,Cameroon,1986,6,Africa
1109,Cameroon,1985,6,Africa
1110,Cameroon,1984,6,Africa
1111,Cameroon,1983,6,Africa
1112,Cameroon,1982,6,Africa
1113,Cameroon,1981,6,Africa
1114,Cameroon,1980,6,Africa
1115,Cameroon,1979,6,Africa
1116,Cameroon,1978,6,Africa
1117,Cameroon,1977,6,Africa
1118,Cameroon,1976,6,Africa
1119,Cameroon,1975,6,Africa
1160,Cape Verde,2014,6,Africa
1161,Cape Verde,2013,6,Africa
1162,Cape Verde,2012,6,Africa
1163,Cape Verde,2011,6,Africa
1164,Cape Verde,2010,6,Africa
1165,Cape Verde,2009,6,Africa
1166,Cape Verde,2008,6,Africa
1167,Cape Verde,2007,6,Africa
1168,Cape Verde,2006,6,Africa
1169,Cape Verde,2005,6,Africa
1170,Cape Verde,2004,6,Africa
1171,Cape Verde,2003,6,Africa
1172,Cape Verde,2002,6,Africa
1173,Cape Verde,2001,6,Africa
1174,Cape Verde,2000,6,Africa
1175,Cape Verde,1999,6,Africa
1200,Central African Republic,2014,6,Africa
1201,Central African Republic,2013,6,Africa
1202,Central African Republic,2012,6,Africa
1203,Central African Republic,2011,6,Africa
1204,Central African Republic,2010,6,Africa
1205,Central African Republic,2009,6,Africa
1206,Central African Republic,2008,6,Africa
1207,Central African Republic,2007,6,Africa
1208,Central African Republic,2006,6,Africa
1209,Central African Republic,2005,6,Africa
1210,Central African Republic,2004,6,Africa
1211,Central African Republic,2003,6,Africa
1212,Central African Republic,2002,6,Africa
1213,Central African Republic,2001,6,Africa
1214,Central African Republic,2000,6,Africa
1215,Central African Republic,1999,6,Africa
1216,Central African Republic,1998,6,Africa
1217,Central African Republic,1997,6,Africa
1218,Central African Republic,1996,6,Africa
1219,Central African Republic,1995,6,Africa
1220,Central African Republic,1994,6,Africa
1221,Central African Republic,1993,6,Africa
1222,Central African Republic,1992,6,Africa
1223,Central African Republic,1991,6,Africa
1224,Central African Republic,1990,6,Africa
1225,Central African Republic,1989,6,Africa
1226,Central African Republic,1988,6,Africa
1227,Central African Republic,1987,6,Africa
1228,Central African Republic,1986,6,Africa
1229,Central African Republic,1985,6,Africa
1230,Central African Republic,1984,6,Africa
1231,Central African Republic,1983,6,Africa
1232,Central African Republic,1982,6,Africa
1233,Central African Republic,1981,6,Africa
1234,Central African Republic,1980,6,Africa
1235,Central African Republic,1979,6,Africa
1236,Central African Republic,1978,6,Africa
1237,Central African Republic,1977,6,Africa
1238,Central African Republic,1976,6,Africa
1239,Central African Republic,1975,6,Africa
1240,Chad,2014,6,Africa
1241,Chad,2013,6,Africa
1242,Chad,2012,6,Africa
1243,Chad,2011,6,Africa
1244,Chad,2010,6,Africa
1245,Chad,2009,6,Africa
1246,Chad,2008,6,Africa
1247,Chad,2007,6,Africa
1248,Chad,2006,6,Africa
1249,Chad,2005,6,Africa
1250,Chad,2004,6,Africa
1251,Chad,2003,6,Africa
1252,Chad,2002,6,Africa
1253,Chad,2001,6,Africa
1254,Chad,2000,6,Africa
1255,Chad,1999,6,Africa
1256,Chad,1998,6,Africa
1257,Chad,1997,6,Africa
1258,Chad,1996,6,Africa
1259,Chad,1995,6,Africa
1260,Chad,1994,6,Africa
1261,Chad,1993,6,Africa
1262,Chad,1992,6,Africa
1263,Chad,1991,6,Africa
1264,Chad,1990,6,Africa
1265,Chad,1989,6,Africa
1266,Chad,1988,6,Africa
1267,Chad,1987,6,Africa
1268,Chad,1986,6,Africa
1269,Chad,1985,6,Africa
1270,Chad,1984,6,Africa
1271,Chad,1983,6,Africa
1272,Chad,1982,6,Africa
1273,Chad,1981,6,Africa
1274,Chad,1980,6,Africa
1275,Chad,1979,6,Africa
1276,Chad,1978,6,Africa
1277,Chad,1977,6,Africa
1278,Chad,1976,6,Africa
1279,Chad,1975,6,Africa
1400,Comoros,2014,6,Africa
1401,Comoros,2013,6,Africa
1402,Comoros,2012,6,Africa
1403,Comoros,2011,6,Africa
1404,Comoros,2010,6,Africa
1405,Comoros,2009,6,Africa
1406,Comoros,2008,6,Africa
1407,Comoros,2007,6,Africa
1408,Comoros,2006,6,Africa
1409,Comoros,2005,6,Africa
1410,Comoros,2004,6,Africa
1411,Comoros,2003,6,Africa
1412,Comoros,2002,6,Africa
1413,Comoros,2001,6,Africa
1414,Comoros,2000,6,Africa
1415,Comoros,1999,6,Africa
1423,Comoros,1991,6,Africa
1424,Comoros,1990,6,Africa
1425,Comoros,1989,6,Africa
1426,Comoros,1988,6,Africa
1427,Comoros,1987,6,Africa
1428,Comoros,1986,6,Africa
1429,Comoros,1985,6,Africa
1430,Comoros,1984,6,Africa
1431,Comoros,1983,6,Africa
1432,Comoros,1982,6,Africa
1433,Comoros,1981,6,Africa
1434,Comoros,1980,6,Africa
1435,Comoros,1979,6,Africa
1436,Comoros,1978,6,Africa
1437,Comoros,1977,6,Africa
1438,Comoros,1976,6,Africa
1439,Comoros,1975,6,Africa
1440,Congo,2014,6,Africa
1441,Congo,2013,6,Africa
1442,Congo,2012,6,Africa
1443,Congo,2011,6,Africa
1444,Congo,2010,6,Africa
1445,Congo,2009,6,Africa
1446,Congo,2008,6,Africa
1447,Congo,2007,6,Africa
1448,Congo,2006,6,Africa
1449,Congo,2005,6,Africa
1450,Congo,2004,6,Africa
1451,Congo,2003,6,Africa
1452,Congo,2002,6,Africa
1453,Congo,2001,6,Africa
1454,Congo,2000,6,Africa
1455,Congo,1999,6,Africa
1456,Congo,1998,6,Africa
1457,Congo,1997,6,Africa
1458,Congo,1996,6,Africa
1459,Congo,1995,6,Africa
1460,Congo,1994,6,Africa
1461,Congo,1993,6,Africa
1462,Congo,1992,6,Africa
1463,Congo,1991,6,Africa
1464,Congo,1990,6,Africa
1465,Congo,1989,6,Africa
1466,Congo,1988,6,Africa
1467,Congo,1987,6,Africa
1468,Congo,1986,6,Africa
1469,Congo,1985,6,Africa
1470,Congo,1984,6,Africa
1471,Congo,1983,6,Africa
1472,Congo,1982,6,Africa
1473,Congo,1981,6,Africa
1474,Congo,1980,6,Africa
1475,Congo,1979,6,Africa
1476,Congo,1978,6,Africa
1477,Congo,1977,6,Africa
1478,Congo,1976,6,Africa
1479,Congo,1975,6,Africa
1720,Djibouti,2014,6,Africa
1721,Djibouti,2013,6,Africa
1722,Djibouti,2012,6,Africa
1723,Djibouti,2011,6,Africa
1724,Djibouti,2010,6,Africa
1725,Djibouti,2009,6,Africa
