"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Estonia","Rural Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","215612","21"
"Estonia","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","215810","21"
"Estonia","Rural Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","216006","21"
"Estonia","Rural Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","216200","21"
"Estonia","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","216179","21"
"Estonia","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","215619","21"
"Estonia","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","213992","21"
"Estonia","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","214570","21"
"Estonia","Rural Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","213651",""
"Estonia","Rural Male","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","212288",""
"Estonia","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","210638",""
"Estonia","Rural Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","209484",""
"Ethiopia","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","29817000","4"
"Ethiopia","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","29076000","4"
"Ethiopia","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","28340000","4"
"Ethiopia","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","27614825","4"
"Ethiopia","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","26146000","4"
"Ethiopia","Rural Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","25419000","4"
"Ethiopia","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","24694000","4"
"Ethiopia","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","23963000","4"
"Ethiopia","Rural Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","23226459","4"
"Ethiopia","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","22778165",""
"Ethiopia","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","30050000","4"
"Ethiopia","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","29306000","4"
"Ethiopia","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","28573000","4"
"Ethiopia","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","27876358","4"
"Ethiopia","Rural Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","26452000","4"
"Ethiopia","Rural Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","25772000","4"
"Ethiopia","Rural Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","25108000","4"
"Ethiopia","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","24459000","4"
"Ethiopia","Rural Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","23835995","4"
"Ethiopia","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","23375893",""
"Falkland Islands","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","212","22"
"Falkland Islands","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","279","23"
"Falkland Islands","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","281","22"
"Falkland Islands","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","368","23"
"Fiji","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","201770",""
"Fiji","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","214059",""
"Fiji","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","213812",""
"Fiji","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","224291",""
"Finland","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","984998","2"
"Finland","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","982665","24"
"Finland","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","985138","24"
"Finland","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","998265","24"
"Finland","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1000918","24"
"Finland","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1021839","24"
"Finland","Rural Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1028111","24"
"Finland","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1045811","24"
"Finland","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","895171","24"
"Finland","Rural Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","903179","24"
"Finland","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","906802","24"
"Finland","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","956917","2"
"Finland","Rural Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","985615","2"
"Finland","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","997739","2"
"Finland","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","996171","24"
"Finland","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","998013","24"
"Finland","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1010461","24"
"Finland","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1012529","24"
"Finland","Rural Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1031488","24"
"Finland","Rural Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1036310","24"
"Finland","Rural Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1053074","24"
"Finland","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","906155","24"
"Finland","Rural Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","913131","24"
"Finland","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","915414","24"
"Finland","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","961798","2"
"Finland","Rural Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","986663","2"
"France","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","7351709","25"
"France","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","7359357","25"
"Gabon","Rural Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","142518",""
"Gabon","Rural Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","130162",""
"Georgia","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1073579","2"
"Georgia","Rural Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1248492","2"
"Georgia","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1013160","2"
"Georgia","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1160997","2"
"German Democratic Republic (former)","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1975385","26"
"German Democratic Republic (former)","Rural Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1984852","26"
"German Democratic Republic (former)","Rural Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1992856","26"
"German Democratic Republic (former)","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2010421","26"
"German Democratic Republic (former)","Rural Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2019720","26"
"German Democratic Republic (former)","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1870441","26"
"German Democratic Republic (former)","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1878745","26"
"German Democratic Republic (former)","Rural Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1875651","26"
"German Democratic Republic (former)","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1874036","26"
"German Democratic Republic (former)","Rural Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1875660","26"
"Ghana","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","5324257",""
"Ghana","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","5313552",""
"Greece","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2079915","27"
"Greece","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2141004","27"
"Greenland","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4499","24"
"Greenland","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4558","24"
"Greenland","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4621","24"
"Greenland","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","4678","24"
"Greenland","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4812","24"
"Greenland","Rural Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4775","24"
"Greenland","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4775","24"
"Greenland","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4752","24"
"Greenland","Rural Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4739","24"
"Greenland","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4776","24"
"Greenland","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","5521","24"
"Greenland","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","5589","24"
"Greenland","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","5648","24"
"Greenland","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","5732","24"
"Greenland","Rural Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","5752","24"
"Greenland","Rural Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","5812","24"
"Greenland","Rural Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","5829","24"
"Greenland","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","5836","24"
"Greenland","Rural Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","5832","24"
"Greenland","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","5899","24"
"Guam","Rural Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","40971","3"
"Guam","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","40047","3"
"Guam","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","39143","3"
"Guam","Rural Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","45226","3"
"Guam","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","44205","3"
"Guam","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","43208","3"
"Honduras","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1766403",""
"Honduras","Rural Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1257440",""
"Honduras","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1833505",""
"Honduras","Rural Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1316177",""
"Hong Kong SAR","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","175983",""
"Hong Kong SAR","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","195967",""
"Hungary","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1815190",""
"Hungary","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1829321",""
"Hungary","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1825194",""
"Hungary","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1866642",""
"Hungary","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1872949",""
"Hungary","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1869865",""
"Hungary","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1880866",""
"Hungary","Rural Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1880286",""
"Hungary","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1916138",""
"Hungary","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1934891",""
"Hungary","Rural Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1948484",""
"Hungary","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1925952",""
"Hungary","Rural Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1941094",""
"Hungary","Rural Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1972001",""
"Hungary","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2001184",""
"Hungary","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1990174",""
"Hungary","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2021400",""
"Hungary","Rural Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1991061",""
"Hungary","Rural Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2200284",""
"Hungary","Rural Female","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2219627",""
"Hungary","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2244135",""
"Hungary","Rural Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2362887",""
"Hungary","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1720033",""
"Hungary","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1731693",""
"Hungary","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1726255",""
"Hungary","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1758793",""
"Hungary","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1770539",""
"Hungary","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1790082",""
"Hungary","Rural Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1801015",""
"Hungary","Rural Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1801587",""
"Hungary","Rural Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1836522",""
"Hungary","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1854900",""
"Hungary","Rural Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1868555",""
"Hungary","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1840313",""
"Hungary","Rural Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1848303",""
"Hungary","Rural Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1878925",""
"Hungary","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1908146",""
"Hungary","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1932010",""
"Hungary","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1928200",""
"Hungary","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1911790",""
"Hungary","Rural Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2110664",""
"Hungary","Rural Male","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2126837",""
"Hungary","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2149821",""
"Hungary","Rural Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2264936",""
"Iceland","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","9786","2"
"Iceland","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","9942","24"
"Iceland","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10060","24"
"Iceland","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10105","24"
"Iceland","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","10033","24"
"Iceland","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10033","24"
"Iceland","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","9924","2"
"Iceland","Rural Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","9980","24"
"Iceland","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10039","24"
"Iceland","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10190","24"
"Iceland","Rural Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10359","24"
"Iceland","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10567","24"
"Iceland","Rural Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10657","24"
"Iceland","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10846","24"
"Iceland","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10973","24"
"Iceland","Rural Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11165","2"
"Iceland","Rural Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11350","2"
"Iceland","Rural Female","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11513","2"
"Iceland","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11692","2"
"Iceland","Rural Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11879","2"
"Iceland","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11870","2"
"Iceland","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11373","24"
"Iceland","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11489","24"
"Iceland","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11540","24"
"Iceland","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","11460","24"
"Iceland","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11460","24"
"Iceland","Rural Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11350","2"
"Iceland","Rural Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11458","24"
"Iceland","Rural Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11583","24"
"Iceland","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11754","24"
"Iceland","Rural Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11994","24"
"Iceland","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","12199","24"
"Iceland","Rural Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","12302","24"
"Iceland","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","12666","24"
"Iceland","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","12873","24"
"Iceland","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","13087","2"
"Iceland","Rural Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","13230","2"
"Iceland","Rural Male","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","13416","2"
"Iceland","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","13605","2"
"Iceland","Rural Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","13763","2"
"India","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","377929000","28"
"India","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","372842000","28"
"India","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","367637000","28"
"India","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","360887965","29"
"India","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","362574000","28"
"India","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","356634000","28"
"India","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","350798000","28"
"India","Rural Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","345002000","28"
"India","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","339256000","28"
"India","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","330118000","28"
"India","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","304370062","29"
"India","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","398482000","28"
"India","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","393357000","28"
"India","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","388145000","28"
"India","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","381602674","29"
"India","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","382962000","28"
"India","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","377862000","28"
"India","Rural Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","372638000","28"
"India","Rural Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","367215000","28"
"India","Rural Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","361631000","28"
"India","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","352656000","28"
"India","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","324321614","29"
"Indonesia","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","59614061","30"
"Indonesia","Rural Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","62610210","31"
"Indonesia","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","62146970","32"
"Indonesia","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","60048684","30"
"Indonesia","Rural Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","62207488","31"
"Indonesia","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","61729913","32"
"Iran","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11605934","33"
"Iran","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11350566","11"
"Iran","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","11527563","2"
"Iran","Rural Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11504259","11"
"Iran","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11586605","11"
"Iran","Rural Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11657224","11"
"Iran","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","11667359","2"
"Iran","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","10964868",""
"Iran","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11681461","33"
"Iran","Rural Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11761966","11"
"Iran","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","11710136","2"
"Iran","Rural Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11920006","11"
"Iran","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","12006560","11"
"Iran","Rural Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","12087853","11"
"Iran","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","12333206","2"
"Iran","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","11384483",""
"Iraq","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","3168522","34"
