"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Australia","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1200452",""
"Austria","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1339872","2"
"Austria","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1395610","2"
"Austria","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1324361","2"
"Austria","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1367987","2"
"Azerbaijan","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2038600",""
"Azerbaijan","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2022100",""
"Azerbaijan","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2044100",""
"Azerbaijan","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2027600",""
"Azerbaijan","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2009600",""
"Azerbaijan","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1986721","2"
"Azerbaijan","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1989900",""
"Azerbaijan","Rural Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1951800",""
"Azerbaijan","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1910300",""
"Azerbaijan","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1881700",""
"Azerbaijan","Rural Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1863700",""
"Azerbaijan","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1846300",""
"Azerbaijan","Rural Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1659411","2"
"Azerbaijan","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1991600",""
"Azerbaijan","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1970000",""
"Azerbaijan","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1985700",""
"Azerbaijan","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1964800",""
"Azerbaijan","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1942100",""
